UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary
1,Doe,A,Sam,Female,Engineer,Sales,18/07/2017,null,124066.77
2,Rodriguez,C,Robin,Other,Manager,Engineering,18/11/1959,null,100535.53
3,Smith,R,Chris,Other,Engineer,Legal,4/5/2004,null,136930.03
4,Johnson,W,Jordan,Non-binary,Technician,Sales,16/10/1970,2/9/1981,60221.03
5,Martinez,D,Taylor,Non-binary,Specialist,Finance,19/11/2023,null,95942.49
6,Doe,M,Jane,Non-binary,Consultant,Operations,9/4/2003,null,56955.51
7,Brown,Y,Sam,Male,Consultant,HR,14/07/1960,null,95341.03
8,Garcia,F,Taylor,Non-binary,Engineer,Finance,9/6/2014,11/8/2009,57140.25
9,Johnson,R,Chris,Female,Analyst,IT,10/9/1975,21/11/2008,118816.2
10,Brown,V,Taylor,Male,Engineer,Engineering,12/9/2023,null,76774.09
11,Brown,S,Taylor,Female,Coordinator,Legal,20/12/1986,22/02/2009,95885.19
12,Lee,E,Chris,Non-binary,Coordinator,IT,29/10/2003,null,71932.08
13,Johnson,Q,Morgan,Male,Consultant,Engineering,23/04/1961,null,65998.2
14,Martinez,T,Jane,Other,Analyst,Legal,11/12/1998,null,105322.59
15,Smith,V,Jane,Non-binary,Consultant,Operations,25/06/1961,null,65815.78
16,Smith,X,Sam,Female,Specialist,Marketing,28/07/2007,null,113894.95
17,Lewis,G,Alex,Non-binary,Consultant,Sales,12/11/1999,20/01/1999,141849.35
18,Lewis,K,Morgan,Male,Manager,Operations,8/11/2023,null,55792.52
19,Lewis,C,Jane,Other,Consultant,Marketing,17/09/2019,3/10/1962,62839.15
20,Clark,R,Alex,Non-binary,Specialist,IT,23/06/1970,26/03/2019,122993.11
21,Brown,W,Sam,Other,Coordinator,Operations,11/10/1990,24/12/1991,62100.42
22,Brown,C,Taylor,Male,Specialist,HR,7/4/2004,null,57099.31
23,Smith,H,Jane,Male,Consultant,Operations,30/10/1957,16/06/1976,116897.78
24,Brown,R,Alex,Other,Engineer,Legal,2/12/2023,null,59432.58
25,Martinez,L,Jordan,Other,Analyst,Engineering,19/11/2011,12/6/2009,59841.79
26,Martinez,X,Taylor,Male,Engineer,HR,15/07/1968,19/01/1964,92188.16
27,Lee,O,Chris,Male,Analyst,Marketing,5/1/1956,21/12/1999,133602.76
28,Doe,Y,Chris,Female,Analyst,Legal,29/08/1994,null,90104.03
29,Smith,F,Jordan,Male,Analyst,Finance,25/10/2021,24/01/1977,92300.75
30,Rodriguez,V,Morgan,Female,Engineer,Finance,2/1/1971,8/6/2003,123573.72
31,Smith,X,Taylor,Male,Manager,Legal,2/8/1996,14/02/1999,65743.27
32,Rodriguez,C,Alex,Male,Specialist,Marketing,19/01/2012,12/9/1987,61988.66
33,Lewis,H,Robin,Male,Specialist,Marketing,31/01/1989,8/3/2002,102278.27
34,Lee,G,Taylor,Female,Technician,IT,20/03/1963,22/05/1978,95722.46
35,Doe,A,Morgan,Male,Manager,HR,9/11/1996,null,143325.94
36,Doe,H,Taylor,Non-binary,Engineer,Legal,17/03/2000,8/5/2006,148385.33
37,Rodriguez,A,Pat,Non-binary,Coordinator,Marketing,10/7/1963,null,138971.27
