UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,HireDate,TerminationDate
1,Smith,A,John,male,Software Engineer,IT,01/05/2015,NA
2,Johnson,B,Emily,female,Project Manager,Operations,15/02/2018,NA
3,Brown,C,Alex,male,Data Analyst,Finance,23/11/2020,10/08/2023
4,Garcia,D,Mia,female,HR Specialist,Human Resources,06/07/2019,NA
5,NA,NA,Chris,other,Marketing Coordinator,Marketing,19/09/2022,NA
6,Wilson,E,Sophia,female,Graphic Designer,Design,12/12/2021,NA
7,Taylor,F,Michael,male,Sales Representative,Sales,29/04/2017,25/01/2023
8,Anderson,G,NA,male,Business Analyst,Strategy,15/01/2020,NA
9,Thomas,H,Jessica,female,Customer Service Rep,Customer Support,30/03/2021,NA
10,Martinez,I,David,male,Web Developer,IT,21/08/2016,NA
11,Lopez,J,Alice,female,Research Scientist,R&D,02/11/2018,NA
12,Lee,K,Kevin,male,System Administrator,IT,12/09/2017,NA
13,Nguyen,L,Tina,female,Product Owner,Product,25/04/2019,NA
14,Walker,M,Henry,male,Financial Analyst,Finance,03/08/2020,NA
15,Hernandez,N,Laura,female,Recruiter,Human Resources,14/10/2021,NA
16,King,O,George,male,Operations Manager,Operations,09/12/2022,NA
17,Wright,P,Sarah,female,Content Writer,Marketing,05/01/2018,NA
18,Green,Q,Bob,male,Network Engineer,IT,17/06/2019,NA
19,Adams,R,NA,male,Supply Chain Specialist,Supply Chain,11/03/2020,NA
20,Scott,S,Emily,female,Sales Analyst,Sales,24/07/2016,NA
21,Mitchell,T,Paul,male,Software Tester,IT,16/11/2015,NA
22,Roberts,U,Angela,female,Account Manager,Finance,02/04/2022,NA
23,Turner,V,Chris,other,Digital Marketing Specialist,Marketing,30/05/2021,NA
24,Phillips,W,James,male,Customer Support Specialist,Customer Support,14/09/2020,NA
25,Campbell,X,NA,male,Legal Advisor,Legal,19/02/2019,NA
26,Parker,Y,Megan,female,UI/UX Designer,Design,28/12/2021,NA
27,Evans,Z,David,male,Data Scientist,IT,15/06/2022,NA
28,Edwards,AA,Nancy,female,Marketing Manager,Marketing,05/03/2020,NA
29,Collins,AB,Daniel,male,Operations Analyst,Operations,18/04/2021,NA
30,Stewart,AC,Emily,female,Quality Assurance Lead,IT,22/01/2017,NA
31,Sanchez,AD,Brian,male,Product Manager,Product,25/08/2023,NA
32,Morris,AE,NA,male,Warehouse Manager,Supply Chain,13/10/2022,NA
