UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary
001,Smith,J,John,M,Software Engineer,IT,2020-01-15,,85000
002,Doe,A,Jane,F,Product Manager,Marketing,2019-03-20,,95000
003,Brown,L,Emily,F,Data Analyst,Finance,2021-07-10,,70000
004,Johnson,M,Michael,M,Sales Representative,Sales,2018-11-05,2023-06-30,60000
005,Williams,S,Jessica,F,HR Specialist,Human Resources,2022-02-01,,72000
006,Jones,T,David,M,Web Developer,IT,2021-05-25,,80000
007,Garcia,R,Ana,F,UX Designer,Design,2020-09-12,,75000
008,Martinez,P,Paul,M,Project Coordinator,Operations,2017-04-18,2024-01-15,65000
009,Hernandez,C,Sofia,F,Marketing Specialist,Marketing,2023-03-22,,62000
010,Lopez,B,Daniel,M,Account Manager,Sales,2019-12-05,,88000
011,Clark,D,Laura,F,Graphic Designer,Design,2022-01-10,,70000
012,Rodriguez,K,Kevin,M,Financial Analyst,Finance,2019-05-15,,72000
013,Walker,M,Olivia,F,Customer Support,IT,2021-03-30,,58000
014,Hall,N,James,M,Research Analyst,Finance,2020-06-18,,75000
015,Allen,O,Mia,F,Content Writer,Marketing,2023-02-02,,65000
016,Young,P,William,M,DevOps Engineer,IT,2020-08-15,,90000
017,Hernandez,Q,Lily,F,HR Manager,Human Resources,2021-09-12,,85000
018,King,R,Matthew,M,Sales Manager,Sales,2018-04-30,,95000
019,Wright,S,Nora,F,SEO Speci

