UniqueID,Last Name,Middle Initial,First Name,Gender,Department,Hire Date,Termination Date,Annual Salary
1,Smith,J,John,Male,Finance,2020-01-15,,60000
2,Doe,A,Jane,Female,Marketing,2019-03-22,,65000
3,Brown,K,Alex,Other,IT,2021-07-10,,70000
4,Johnson,L,Mike,Male,HR,2018-11-05,,55000
5,Williams,M,Sarah,Female,Sales,2022-05-18,,62000
6,Jones,T,Chris,Male,Finance,2020-09-11,,68000
7,Garcia,R,Maria,Female,Marketing,2021-04-15,,63000
8,Miller,C,Pat,Other,IT,2019-02-20,,71000
9,Davis,P,Emily,Female,HR,2020-12-01,,57000
10,Rodriguez,S,David,Male,Sales,2018-08-25,,64000
11,Martinez,E,Nina,Female,Finance,2021-03-30,,69000
12,Hernandez,G,Tom,Male,Marketing,2019-06-17,,62000
13,Lopez,Q,Ava,Female,IT,2022-01-05,,70000
14,Gonzalez,X,Ben,Other,HR,2020-07-24,,58000
15,Wilson,Y,Rita,Female,Sales,2019-09-15,,61000
...
146,Young,Z,Jordan,Male,Marketing,2020-02-11,,64000
147,King,B,Avery,Female,Finance,2021-06-20,,67000
148,Scott,D,Taylor,Other,IT,2019-11-30,,70000
149,Green,H,Jesse,Male,HR,2022-04-22,,59000
150,Adams,I,Charlie,Female,Sales,2020-10-05,2023-03-01,60000
