UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,HireDate,TerminationDate,AnnualSalary
1,Silva,A,João,Male,Operations Manager,Operations,2020-01-15,,75000
2,Oliveira,B,Maria,Female,Human Resources Coordinator,HR,2019-03-22,,62000
3,Souza,C,Carlos,Male,Finance Analyst,Finance,2021-07-30,,58000
4,Almeida,D,Ana,Female,Marketing Specialist,Marketing,2022-05-10,,50000
5,Ribeiro,E,Pedro,Male,IT Support,IT,2020-11-01,,45000
6,Martins,F,Lívia,Female,Sales Executive,Sales,2018-09-15,,70000
7,Pereira,G,Tiago,Male,Quality Assurance Engineer,Quality,2021-06-18,,68000
8,Ferreira,H,Juliana,Female,Logistics Supervisor,Logistics,2017-04-25,,72000
9,Correia,I,Lucas,Male,Project Manager,Projects,2019-02-12,,90000
10,Teixeira,J,Fabiana,Female,Customer Service Representative,Customer Service,2020-10-30,,40000
11,Castro,K,Rafael,Male,Data Analyst,IT,2021-01-20,,62000
12,Barros,L,Sofia,Female,Account Manager,Sales,2018-08-09,,70000
13,Costa,M,Gustavo,Male,Research Scientist,R&D,2017-03-15,,85000
14,Ramos,N,Clara,Female,Administrative Assistant,Admin,2020-02-05,,35000
15,Nascimento,O,Renan,Male,Supply Chain Analyst,Logistics,2021-09-12,,54000
16,Martins,P,Isabela,Female,Content Writer,Marketing,2021-11-03,,48000
17,Santos,Q,Thiago,Male,Software Developer,IT,2020-04-18,,75000
18,Gomes,R,Mariana,Female,Product Manager,Projects,2019-06-21,,90000
19,Carvalho,S,Victor,Male,Web Developer,IT,2020-05-29,,70000
20,Cardoso,T,Aline,Female,Graphic Designer,Marketing,2018-12-10,,47000
21,Leite,U,Felipe,Male,Operations Analyst,Operations,2020-07-14,,64000
22,Castro,V,Julia,Female,Event Coordinator,Marketing,2019-08-15,,52000
23,Alves,W,Diego,Male,Field Technician,Operations,2021-02-10,,60000
24,Freitas,X,Camila,Female,SEO Specialist,Marketing,2020-03-17,,55000
25,Souza,Y,Marcos,Male,Network Administrator,IT,2018-10-11,,72000
26,Pereira,Z,Ana,Male,Sales Manager,Sales,2019-05-04,,85000
27,Silva,A1,Eduardo,Male,Financial Controller,Finance,2021-06-30,,88000
28,Oliveira,B1,Nathalia,Female,HR Specialist,HR,2018-01-10,,60000
29,Souza,C1,Ricardo,Male,Legal Advisor,Legal,2020-02-15,,95000
30,Almeida,D1,Sabrina,Female,Training Coordinator,HR,2021-03-11,,57000
31,Ribeiro,E1,Gabriel,Male,Maintenance Supervisor,Operations,2018-12-20,,65000
32,Martins,F1,Vanessa,Female,Social Media Manager,Marketing,2019-11-12,,52000
33,Pereira,G1,João,Male,Production Supervisor,Production,2020-05-14,,74000
34,Ferreira,H1,Patricia,Female,Quality Control Technician,Quality,2019-02-01,,46000
35,Correia,I1,Bruno,Male,Warehouse Manager,Logistics,2018-09-22,,72000
36,Teixeira,J1,Raquel,Female,Customer Success Manager,Customer Service,2021-04-23,,67000
37,Castro,K1,Celso,Male,IT Project Coordinator,IT,2018-07-29,,85000
38,Barros,L1,Claudia,Female,Brand Manager,Marketing,2020-06-18,,79000
39,Costa,M1,Luan,Male,Process Engineer,Engineering,2019-04-16,,93000
40,Ramos,N1,Aline,Female,Operations Analyst,Operations,2020-01-01,,62000
41,Nascimento,O1,Roberto,Male,Payroll Specialist,Finance,2018-05-05,,54000
42,Martins,P1,Marina,Female,Project Assistant,Projects,2021-08-11,,48000
43,Santos,Q1,Felipe,Male,Customer Service Agent,Customer Service,2020-11-02,,39000
44,Gomes,R1,Jéssica,Female,Database Administrator,IT,2019-03-25,,68000
45,Carvalho,S1,Celina,Female,Compliance Officer,Legal,2021-01-05,,82000
46,Cardoso,T1,Antonio,Male,Technical Support Engineer,IT,2020-04-20,,60000
47,Leite,U1,Larissa,Female,Marketing Analyst,Marketing,2018-09-14,,53000
48,Castro,V1,Ricardo,Male,Sales Support,Sales,2021-05-17,,46000
49,Alves,W1,Gustavo,Male,Financial Analyst,Finance,2019-10-01,,70000
50,Freitas,X1,Elena,Female,HR Assistant,HR,2020-12-19,,39000
51,Souza,Y1,Leonardo,Male,Process Improvement Specialist,Quality,2018-11-30,,76000
52,Pereira,Z1,Tatiane,Female,Inventory Analyst,Logistics,2019-08-04,,54000
53,Silva,A2,Cristiano,Male,UX Designer,Marketing,2021-02-20,,58000
54,Oliveira,B2,Priscila,Female,Training Specialist,HR,2019-05-15,,61000
55,Souza,C2,André,Male,Manufacturing Engineer,Production,2020-03-09,,83000
56,Almeida,D2,Marcelia,Female,Data Scientist,R&D,2021-01-14,,92000
57,Ribeiro,E2,Rafael,Male,Strategic Planner,Finance,2018-06-19,,90000
58,Martins,F2,Milena,Female,Market Research Analyst,Marketing,2020-02-25,,49000
59,Pereira,G2,Diego,Male,Sales Trainer,Sales,2019-03-02,,55000
60,Ferreira,H2,Larissa,Female,Quality Manager,Quality,2020-06-06,,81000
61,Correia,I2,Samuel,Male,Environmental Engineer,R&D,2019-11-27,,87000
62,Teixeira,J2,Leticia,Female,Product Designer,Marketing,2020-01-30,,62000
63,Castro,K2,Vinícius,Male,Web Analyst,IT,2021-04-12,,65000
64,Barros,L2,Valentina,Female,Customer Retention Specialist,Customer Service,2021-09-07,,47000
65,Costa,M2,José,Male,Sales Analyst,Sales,2020-05-23,,54000
66,Ramos,N2,Flavia,Female,Technical Writer,R&D,2019-01-16,,52000
67,Nascimento,O2,Caio,Male,Market Strategist,Marketing,2018-08-11,,71000
68,Martins,P2,Beatriz,Female,Supply Chain Manager,Logistics,2020-10-21,,89000
69,Santos,Q2,Guilherme,Male,Training Manager,HR,2021-03-22,,79000
70,Gomes,R2,Talita,Female,Warehouse Coordinator,Logistics,2019-04-10,,50000
71,Carvalho,S2,Nicolas,Male,Research Analyst,R&D,2020-06-04,,72000
72,Cardoso,T2,Suzana,Female,Digital Marketing Specialist,Marketing,2021-07-15,,57000
73,Leite,U2,Igor,Male,IT Support Analyst,IT,2019-05-09,,45000
74,Castro,V2,Karla,Female,Sales Operations Specialist,Sales,2021-11-01,,48000
75,Alves,W2,Douglas,Male,Project Engineer,Engineering,2020-12-29,,80000
76,Freitas,X2,Angela,Female,Executive Assistant,Admin,2018-02-14,,55000
77,Souza,Y2,Frederico,Male,Financial Consultant,Finance,2019-08-25,,75000
78,Pereira,Z2,Lívia,Female,Logistics Analyst,Logistics,2021-02-18,,60000
79,Silva,A3,Monique,Female,Quality Assurance Lead,Quality,2020-04-07,,71000
80,Oliveira,B3,Adriano,Male,Social Media Coordinator,Marketing,2019-03-20,,46000
81,Souza,C3,Anderson,Male,Field Sales Representative,Sales,2021-01-08,,65000
82,Almeida,D3,Bruna,Female,HR Generalist,HR,2018-07-11,,59000
83,Ribeiro,E3,Maurício,Male,Production Planner,Production,2020-05-27,,74000
84,Martins,F3,Rosana,Female,Graphic Artist,Marketing,2019-09-30,,49000
85,Pereira,G3,Davi,Male,Customer Support Specialist,Customer Service,2021-03-05,,38000
86,Ferreira,H3,Tamires,Female,IT Security Analyst,IT,2019-12-21,,65000
87,Correia,I3,João,Male,Strategic Sourcing Specialist,Procurement,2020-01-26,,72000
88,Teixeira,J3,Rafael,Male,Database Manager,IT,2021-10-02,,80000
89,Castro,K3,Simone,Female,Legal Assistant,Legal,2019-06-18,,40000
90,Barros,L3,Augusto,Male,Technical Support Manager,IT,2020-03-15,,85000
91,Costa,M3,Natália,Female,Inventory Control Specialist,Logistics,2021-05-05,,55000
92,Ramos,N3,Felipe,Male,Compliance Manager,Legal,2019-11-09,,90000
93,Nascimento,O3,Caroline,Female,Market Development Manager,Marketing,2020-06-17,,78000
94,Martins,P3,Patrício,Male,IT Architect,IT,2021-07-22,,92000
95,Santos,Q3,Roberta,Female,Sales Operations Manager,Sales,2019-08-05,,74000
96,Gomes,R3,Adriana,Female,Public Relations Officer,Marketing,2021-04-01,,68000
97,Carvalho,S3,Daniel,Male,Logistics Manager,Logistics,2018-10-10,,72000
98,Cardoso,T3,Camila,Female,Customer Insights Analyst,Customer Service,2020-12-16,,50000
99,Leite,U3,Eduardo,Male,Training Specialist,HR,2021-01-23,,64000
100,Castro,V3,Ligia,Female,Process Technician,Production,2019-09-12,,61000
101,Alves,W3,Felipe,Male,Content Marketing Manager,Marketing,2020-05-15,,71000
102,Freitas,X3,Mônica,Female,Web Designer,IT,2019-02-22,,58000
103,Souza,Y3,Renato,Male,Finance Manager,Finance,2021-03-29,,90000
104,Pereira,Z3,Nathália,Female,Sales Development Representative,Sales,2020-06-14,,52000
105,Silva,A4,Aline,Female,Operations Supervisor,Operations,2018-08-18,,70000
106,Oliveira,B4,Thiago,Male,Product Development Engineer,R&D,2019-11-23,,84000
107,Souza,C4,Juliano,Male,Quality Improvement Specialist,Quality,2020-02-11,,65000
108,Almeida,D4,Marcia,Female,Customer Experience Manager,Customer Service,2021-04-18,,73000
109,Ribeiro,E4,Fabio,Male,Procurement Analyst,Procurement,2020-10-05,,61000
110,Martins,F4,Sandra,Female,Legal Counsel,Legal,2019-07-14,,95000
