UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary
100001,Smith,A,John,male,Manager,Sales,15/03/2015,,75000
100002,Doe,N,Jane,female,Analyst,Finance,20/05/2016,,68000
100003,Brown,Z,Mike,male,Technician,Operations,10/07/2017,,55000
100004,Johnson,M,Sara,female,Engineer,R&D,01/08/2018,,80000
100005,White,P,Chris,male,Clerk,Administration,25/09/2019,,40000
100006,Garcia,L,Alice,female,Sales Associate,Sales,10/01/2020,,45000
100007,Martinez,Q,Bob,male,Technician,Operations,15/12/2017,,57000
100008,Wilson,T,Susan,female,HR Specialist,HR,30/06/2016,,62000
100009,Moore,R,Tim,male,Driver,Logistics,05/04/2019,,48000
100010,Taylor,C,Linda,female,Marketing Director,Marketing,10/11/2015,,90000
100011,Anderson,H,Robert,male,Sales Manager,Sales,12/05/2014,,75000
100012,Thomas,V,Mary,female,Accountant,Finance,23/08/2020,,62000
100013,Jackson,S,Kevin,male,Software Engineer,IT,02/01/2021,,95000
100014,White,X,Emma,female,Data Analyst,Finance,09/02/2018,,68000
100015,Harris,Y,James,male,Logistics Coordinator,Logistics,30/10/2016,,52000
100016,Martin,B,Isabella,female,HR Manager,HR,18/03/2015,,72000
100017,Thompson,E,Daniel,male,Maintenance Worker,Operations,17/06/2017,,45000
100018,Garcia,K,Emma,female,Marketing Specialist,Marketing,24/04/2019,,49000
100019,Martinez,W,Aiden,male,Sales Associate,Sales,08/12/2020,,43000
100020,Miller,J,Charlotte,female,Customer Service Rep,Sales,15/01/2021,,42000
100021,Williams,R,Olivia,female,Product Manager,Product Development,11/07/2020,,88000
100022,Robinson,D,Liam,male,IT Support,IT,05/09/2019,,50000
100023,Clark,T,Sophia,female,Marketing Coordinator,Marketing,20/03/2018,,48000
100024,Rodriguez,H,Noah,male,Warehouse Supervisor,Logistics,13/10/2016,,62000
100025,Levine,M,Chloe,female,Recruiter,HR,19/04/2017,,65000
100026,Lewis,G,Ethan,male,Finance Director,Finance,22/11/2015,,100000
100027,Walker,C,Emma,female,Quality Assurance,Operations,15/06/2021,,54000
100028,Hall,P,Ava,female,Training Specialist,HR,28/02/2020,,47000
100029,Young,B,Lucas,male,Systems Analyst,IT,03/05/2019,,70000
100030,Allen,N,Mia,female,Brand Manager,Marketing,11/01/2018,,72000
100031,Sanchez,A,Jackson,male,Data Engineer,IT,12/12/2020,,95000
100032,King,J,Amelia,female,Executive Assistant,Administration,20/08/2016,,50000
100033,Wright,K,Alexander,male,Research Scientist,R&D,15/07/2018,,85000
100034,Scott,T,Emily,female,Field Technician,Operations,21/01/2019,,49000
100035,Green,L,Matthew,male,Content Writer,Marketing,10/04/2017,,60000
100036,Adams,S,Grace,female,Payroll Specialist,Finance,16/09/2015,,58000
100037,Baker,D,Henry,male,Facilities Manager,Operations,18/02/2020,,72000
100038,Nelson,W,Scarlett,female,Product Designer,Product Development,01/05/2021,,76000
100039,Carter,R,Samuel,male,Data Scientist,IT,27/11/2019,,95000
100040,Mitchell,V,Zoe,female,Customer Success Manager,Sales,15/03/2018,,65000
100041,Perez,L,David,male,Supply Chain Analyst,Logistics,02/06/2016,,59000
100042,Roberts,G,Audrey,female,UX Designer,Marketing,12/07/2017,,64000
100043,Turner,S,Joseph,male,IT Manager,IT,25/08/2015,,90000
100044,Phillips,Y,Elijah,male,Technical Support,IT,20/02/2019,,51000
100045,Campbell,K,Aria,female,Graphic Designer,Marketing,14/10/2020,,45000
100046,Parker,M,Isaac,male,Operations Analyst,Operations,11/03/2018,,57000
100047,Evans,B,Penelope,female,Legal Assistant,Legal,29/01/2021,,60000
100048,Edwards,J,Matthew,male,Network Administrator,IT,06/09/2016,,71000
100049,Collins,T,Nora,female,Marketing Analyst,Marketing,23/10/2017,,59000
100050,Stewart,H,James,male,Client Relations,Sales,18/06/2020,,67000
100051,Flores,L,Cameron,male,Operations Manager,Operations,27/04/2019,,83000
