uniqueid,lastname,middleinitial,firstname,gender,job title,department,hiredate,terminationdate,annualsalary
1001,Smith,J,John,M,Software Engineer,IT,15/01/2024,null,80000
1002,Jones,A,Emily,F,Project Manager,Operations,22/02/2024,null,95000
1003,Brown,L,Michael,M,Data Analyst,Finance,30/03/2024,null,70000
1004,Davis,K,Sarah,F,HR Specialist,Human Resources,10/04/2024,null,60000
1005,Miller,R,David,M,Marketing Coordinator,Marketing,25/05/2024,null,55000
1006,Wilson,T,Jessica,F,Sales Associate,Sales,15/06/2024,null,45000
1007,Moore,B,Daniel,M,Web Developer,IT,05/07/2024,null,78000
1008,Taylor,C,Karen,F,Product Manager,Product,15/08/2024,null,90000
1009,Anderson,D,Matthew,M,Customer Support,Support,20/09/2024,null,42000
1010,Thomas,E,Nancy,F,Accountant,Finance,30/10/2024,null,65000
1011,Jackson,F,Joseph,M,Graphic Designer,Marketing,12/01/2024,null,57000
1012,White,G,Laura,F,Network Engineer,IT,25/02/2024,null,85000
1013,Harris,H,Andrew,M,Operations Manager,Operations,18/03/2024,null,100000
1014,Martin,I,Jennifer,F,Research Analyst,R&D,15/04/2024,null,68000
1015,Thompson,J,Paul,M,Legal Advisor,Legal,05/05/2024,null,95000
1016,García,K,Sofia,F,Content Writer,Marketing,15/06/2024,null,49000
1017,Martinez,L,Charles,M,Database Administrator,IT,22/07/2024,null,85000
1018,Robinson,M,Kimberly,F,Executive Assistant,Administration,30/08/2024,null,55000
1019,Clark,N,Brian,M,Supply Chain Analyst,Operations,10/09/2024,null,70000
1020,Rodriguez,O,Ashley,F,SEO Specialist,Marketing,18/10/2024,null,48000
1021,Levy,P,James,M,Financial Analyst,Finance,20/01/2024,null,72000
1022,Hall,Q,Susan,F,Event Planner,Marketing,15/02/2024,null,64000
1023,Allen,R,Timothy,M,Desktop Support,IT,01/03/2024,null,55000
1024,Young,S,Michelle,F,Data Scientist,R&D,25/04/2024,null,110000
1025,Hernandez,T,Robert,M,UX Designer,IT,12/05/2024,null,75000
1026,King,U,Kathleen,F,Sales Manager,Sales,30/06/2024,null,97000
1027,Wright,V,Jason,M,Operations Coordinator,Operations,20/07/2024,null,62000
1028,Scott,W,Linda,F,Marketing Manager,Marketing,18/08/2024,null,92000
1029,Green,X,Steven,M,HR Manager,Human Resources,25/09/2024,null,88000
1030,Adams,Y,Rachel,F,IT Support Specialist,IT,05/10/2024,null,48000
1031,Baker,Z,George,M,Product Designer,Product,30/01/2024,null,80000
1032,Gonzalez,A,Diana,F,Brand Strategist,Marketing,10/02/2024,null,60000
1033,Nelson,B,Ethan,M,Software Architect,IT,22/03/2024,null,120000
1034,Carter,C,Olivia,F,Content Strategist,Marketing,17/04/2024,null,53000
1035,Mitchell,D,Benjamin,M,Warehouse Manager,Operations,01/05/2024,null,69000
1036,Roberts,E,Amanda,F,Social Media Manager,Marketing,22/06/2024,null,65000
1037,Turner,F,William,M,Quality Assurance Tester,R&D,12/07/2024,null,62000
1038,Phillips,G,Tina,F,Payroll Specialist,Finance,18/08/2024,null,57000
1039,Campbell,H,Anthony,M,Recruiter,Human Resources,05/09/2024,null,61000
1040,Parker,I,Sharon,F,Technical Writer,R&D,11/10/2024,null,65000
1041,Evans,J,Samuel,M,IT Manager,IT,18/01/2024,null,105000
1042,Edwards,K,Barbara,F,Financial Planner,Finance,28/02/2024,null,78000
1043,Collins,L,Kevin,M,Data Entry Clerk,Administration,15/03/2024,null,38000
1044,Stewart,M,Elizabeth,F,Web Designer,IT,20/04/2024,null,62000
1045,Sanchez,N,Ryan,M,Customer Service Manager,Support,10/05/2024,null,70000
1046,Morris,O,Sarah,F,Graphic Artist,Marketing,28/06/2024,null,54000
