UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary
1,Souza,A,Lucas,Male,Production Manager,Operations,15/02/2015,,60000
2,Silva,R,Maria,Female,Quality Control Specialist,Quality Assurance,10/05/2017,,45000
3,Pereira,L,Carlos,Male,Marketing Coordinator,Marketing,01/09/2018,,50000
4,Gomes,M,Ana,Female,Research Scientist,R&D,20/11/2016,,55000
5,Ribeiro,T,Pedro,Male,Warehouse Supervisor,Logistics,05/03/2019,,48000
6,Almeida,C,Fernanda,Female,Sales Representative,Sales,15/07/2020,,43000
7,Nascimento,J,Thiago,Male,Finance Analyst,Finance,30/04/2021,,52000
8,Costa,D,Lais,Female,Human Resources Manager,HR,12/01/2014,,62000
9,Barbosa,E,Julio,Male,IT Support Technician,IT,25/06/2020,,40000
10,Machado,F,Beatriz,Female,Product Development Lead,R&D,10/12/2018,,58000
11,Oliveira,G,Roberto,Male,Logistics Analyst,Logistics,05/08/2017,,47000
12,Castro,H,Juliana,Female,Brand Manager,Marketing,01/04/2016,,61000
13,Ramos,I,Diego,Male,Operations Supervisor,Operations,22/03/2015,,59000
14,Martins,J,Mariana,Female,Customer Service Rep,Sales,18/09/2019,,42000
15,Freitas,K,Nicolas,Male,Senior Chemist,R&D,07/05/2018,,64000
16,Cardoso,L,Patricia,Female,Payroll Specialist,Finance,14/02/2020,,46000
17,Moreira,M,Samuel,Male,Field Sales Rep,Sales,27/11/2018,,45000
18,Teixeira,N,Aline,Female,IT Manager,IT,16/07/2017,,65000
19,Assis,O,Andre,Male,Data Analyst,Finance,30/10/2019,,49000
20,Leal,P,Clara,Female,Product Manager,R&D,02/06/2020,,60000
21,Santos,Q,Lucas,Male,Graphic Designer,Marketing,19/01/2021,,42000
22,DosSantos,R,Ana,Female,Social Media Specialist,Marketing,14/03/2016,,43000
23,Becker,S,Flavio,Male,Operations Analyst,Operations,09/08/2018,,47000
24,Campos,T,Roberta,Female,Compliance Officer,Quality Assurance,22/11/2019,,55000
25,Teixeira,U,Felipe,Male,Accountant,Finance,05/12/2015,,58000
26,Barbosa,V,Jéssica,Female,HR Coordinator,HR,20/04/2018,,50000
27,Ribeiro,W,Marcos,Male,Production Technician,Operations,30/09/2020,,40000
28,Nascimento,X,Tamiris,Female,Digital Marketing Manager,Marketing,15/01/2020,,61000
29,Martins,Y,Thiago,Male,Research Associate,R&D,28/07/2017,,53000
30,Souza,Z,Vanessa,Female,Quality Assurance Analyst,Quality Assurance,01/05/2021,,48000
31,Costa,A,Daniel,Male,Procurement Specialist,Logistics,13/02/2016,,55000
32,Silva,B,Patrícia,Female,Content Writer,Marketing,26/04/2019,,42000
33,Gomes,C,Adriano,Male,Warehouse Manager,Logistics,11/11/2018,,59000
34,Pereira,D,Isabela,Female,Financial Analyst,Finance,21/03/2020,,52000
35,Almeida,E,Renan,Male,Technical Support,IT,16/05/2017,,48000
36,Nascimento,F,Juliana,Female,Sales Analyst,Sales,14/01/2019,,45000
37,Ramos,G,Mateus,Male,Product Designer,R&D,27/08/2016,,56000
