UniqueID,Last Name,Middle Initial,First Name,Gender,Job Title,Department,Hire Date,Termination Date,Annual Salary
A1B2C3,Souza,A,Lucas,Male,Sales Associate,Sales,2021-05-12,2023-08-15,45200
D4E5F6,Silva,R,Mariana,Female,Sales Associate,Sales,2022-03-01,2023-09-01,48200
G7H8I9,Costa,D,Pedro,Male,Marketing Specialist,Marketing,2020-06-20,,60400
J1K2L3,Oliveira,T,Ana,Female,Marketing Manager,Marketing,2021-11-15,,90500
M4N5O6,Martins,J,Carlos,Male,Production Supervisor,Production,2023-01-10,,75800
P7Q8R9,Almeida,R,Lívia,Female,Production Worker,Production,2022-07-22,2023-09-01,42100
S1T2U3,Ribeiro,M,Felipe,Male,HR Manager,HR,2020-10-30,,100500
V4W5X6,Pereira,K,Julia,Female,HR Coordinator,HR,2021-08-14,,65000
Y7Z8A9,Rocha,G,Thiago,Male,Sales Manager,Sales,2023-03-05,,85500
B1C2D3,Gomes,N,Isabela,Female,Sales Representative,Sales,2022-12-01,2023-10-01,53200
E4F5G6,Ferreira,L,Vinícius,Male,Marketing Analyst,Marketing,2021-04-25,,51400
H7I8J9,Cardoso,P,Camila,Female,Marketing Intern,Marketing,2022-01-15,,30200
K1L2M3,Teixeira,E,Gustavo,Male,Production Manager,Production,2020-09-11,,95000
N4O5P6,Campos,O,Rafaela,Female,Production Assistant,Production,2022-02-28,,40100
Q7R8S9,Silveira,H,Lorenzo,Male,Sales Analyst,Sales,2021-09-19,,55800
T1U2V3,Melo,Q,Aline,Female,Sales Executive,Sales,2022-06-14,,61200
W4X5Y6,Lima,T,Cleiton,Male,HR Specialist,HR,2021-03-23,,71200
Z7A8B9,Barbosa,S,Marcelina,Female,HR Assistant,HR,2022-11-10,,45700
C1D2E3,Franco,A,Lucas,Male,Marketing Director,Marketing,2020-05-05,,120200
F4G5H6,Pinto,Y,Diana,Female,Marketing Executive,Marketing,2021-12-03,,71100
I7J8K9,Moreira,F,Fábio,Male,Production Planner,Production,2023-02-01,,55200
L1M2N3,Ramos,B,Beatriz,Female,Production Supervisor,Production,2022-07-12,,72100
O4P5Q6,Cavalcanti,E,Rafael,Male,Sales Coordinator,Sales,2020-10-01,,80400
R7S8T9,Andrade,L,Eliane,Female,Sales Representative,Sales,2022-05-19,,50400
U1V2W3,Martins,P,Guilherme,Male,Marketing Assistant,Marketing,2023-06-16,,48300
X4Y5Z6,Araújo,R,Patrícia,Female,Marketing Coordinator,Marketing,2021-01-20,,75900
A7B8C9,Nascimento,M,Ricardo,Male,Production Supervisor,Production,2022-03-28,,72300
D1E2F3,Campos,T,Thais,Female,Production Manager,Production,2021-08-08,,89000
G4H5I6,Cunha,H,Felipe,Male,Sales Director,Sales,2023-04-15,,130000
J7K8L9,Figueiredo,P,Sara,Female,Sales Analyst,Sales,2022-09-04,,62000
M1N2O3,Freitas,K,Lúcia,Female,Production Worker,Production,2021-02-14,,43100
P4Q5R6,Cunha,S,Leonardo,Male,Sales Manager,Sales,2023-04-25,,90800
S7T8U9,Barbosa,Q,Juliana,Female,Sales Associate,Sales,2022-01-30,,47100
V1W2X3,Teixeira,F,Bruno,Male,Production Planner,Production,2022-09-19,,55600
Y4Z5A6,Almeida,J,Cecília,Female,Production Coordinator,Production,2020-05-05,,67800
B7C8D9,Lima,K,Nelson,Male,Sales Analyst,Sales,2021-08-02,,55000
E1F2G3,Ramos,M,Aline,Female,Sales Executive,Sales,2022-12-22,,62800
H4I5J6,Martins,R,Thiago,Male,HR Specialist,HR,2021-06-05,,72000
K7L8M9,Souza,E,Maria,Female,HR Coordinator,HR,2023-08-09,,71000
N1O2P3,Cardoso,A,Juliano,Male,Marketing Assistant,Marketing,2022-07-30,,49100
Q4R5S6,Pinto,G,Natália,Female,Marketing Executive,Marketing,2021-11-04,,75200
T7U8V9,Franco,H,Lucas,Male,Production Worker,Production,2022-10-15,,42100
W1X2Y3,Alves,L,Camila,Female,Production Assistant,Production,2021-01-30,,40000
Z4A5B6,Teixeira,P,Gabriel,Male,Sales Associate,Sales,2023-07-20,,46100
C7D8E9,Cavalcanti,R,Patricia,Female,Sales Representative,Sales,2022-02-14,,51100
F1G2H3,Barbosa,K,Fernando,Male,Marketing Coordinator,Marketing,2021-03-15,,75800
I4J5K6,Gomes,M,Carla,Female,Marketing Manager,Marketing,2020-12-12,,89900
L7M8N9,Ribeiro,N,Gustavo,Male,Production Supervisor,Production,2023-05-01,,78000
O1P2Q3,Pereira,L,Tatiane,Female,Production Worker,Production,2022-06-30,,42900
R4S5T6,Nascimento,Q,Victor,Male,Sales Director,Sales,2021-04-21,,131200
U7V8W9,Almeida,J,Isabela,Female,Sales Associate,Sales,2022-01-02,,45300
X1Y2Z3,Freitas,R,Pedro,Male,HR Manager,HR,2022-11-16,,95200
A4B5C6,Cunha,G,Julia,Female,HR Assistant,HR,2023-04-08,,46300
D7E8F9,Souza,B,Lucas,Male,Marketing Analyst,Marketing,2022-08-30,,52100
G1H2I3,Teixeira,D,Vanessa,Female,Marketing Executive,Marketing,2021-02-05,,70100
J4K5L6,Cardoso,S,Daniel,Male,Production Manager,Production,2023-01-15,,92100
M7N8O9,Pereira,Y,Marcia,Female,Production Coordinator,Production,2020-09-10,,65100
Q1R2S3,Martins,A,Leandro,Male,Sales Executive,Sales,2023-08-22,,59800
T4U5V6,Souza,H,Leticia,Female,Sales Associate,Sales,2022-04-19,,49300
A5B6C7,Nascimento,K,Sofia,Female,Sales Representative,Sales,2021-02-22,2023-05-25,49800
B6C7D8,Costa,E,Fernando,Male,HR Specialist,HR,2022-05-14,2023-08-12,71000
C7D8E9,Rocha,Q,Isadora,Female,Marketing Coordinator,Marketing,2023-02-11,,54300
D8E9F0,Gomes,A,André,Male,Production Worker,Production,2022-06-29,2023-09-15,40100
A1B2C3,Souza,A,Lucas,Male,Sales Associate,Sales,2021-05-12,,45200
D4E5F6,Silva,R,Mariana,Female,Sales Associate,Sales,2022-03-01,2023-08-15,48200
G7H8I9,Costa,D,Pedro,Male,Marketing Specialist,Marketing,2020-06-20,,60400
