UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name,CountDistinct_UniqueID,Max_Count,Sum_GenderTest,Sum_weekendHires,Input_#7_CountDistinct_UniqueID,Count,Input_#6_CountDistinct_UniqueID,Test_Num_Employees,Test_Max_Hiring,Test_Surnames,Test_GenderMatches,Test_Holidays,Test_Weekends
1,Souza,A,Lucas,Male,Production Manager,Operations,15/02/2015,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
2,Silva,R,Maria,Female,Quality Control Specialist,Quality Assurance,10/05/2017,,45000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
3,Pereira,L,Carlos,Male,Marketing Coordinator,Marketing,01/09/2018,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
4,Gomes,M,Ana,Female,Research Scientist,R&D,20/11/2016,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
5,Ribeiro,T,Pedro,Male,Warehouse Supervisor,Logistics,05/03/2019,,48000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
6,Almeida,C,Fernanda,Female,Sales Representative,Sales,15/07/2020,,43000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
7,Nascimento,J,Thiago,Male,Finance Analyst,Finance,30/04/2021,,52000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
8,Costa,D,Lais,Female,Human Resources Manager,HR,12/01/2014,,62000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
9,Barbosa,E,Julio,Male,IT Support Technician,IT,25/06/2020,,40000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
10,Machado,F,Beatriz,Female,Product Development Lead,R&D,10/12/2018,,58000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28,10,1,0,,9,,,Fail,Pass,Pass,Pass,Pass,Pass
