UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name,CountDistinct_UniqueID,Max_Count,Sum_GenderTest,Sum_weekendHires,Input_#7_CountDistinct_UniqueID,Count,Input_#6_CountDistinct_UniqueID,Test_Num_Employees,Test_Max_Hiring,Test_Surnames,Test_GenderMatches,Test_Holidays,Test_Weekends
1,Smith,J,John,M,Software Engineer,IT,2020-01-15,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
2,Jones,A,Emily,F,Project Manager,Operations,2019-03-22,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
3,Brown,L,Michael,M,Data Analyst,Finance,2021-06-30,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
4,Davis,K,Sarah,F,HR Specialist,Human Resources,2018-11-10,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
5,Miller,R,David,M,Marketing Coordinator,Marketing,2022-04-25,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
6,Wilson,T,Jessica,F,Sales Associate,Sales,2020-07-15,,45000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
7,Moore,B,Daniel,M,Web Developer,IT,2019-09-05,,78000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
8,Taylor,C,Karen,F,Product Manager,Product,2021-12-15,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
9,Anderson,D,Matthew,M,Customer Support,Support,2020-05-20,,42000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
10,Thomas,E,Nancy,F,Accountant,Finance,2018-08-30,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
11,Jackson,F,Joseph,M,Graphic Designer,Marketing,2023-01-12,,57000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
12,White,G,Laura,F,Network Engineer,IT,2017-07-25,,85000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
13,Harris,H,Andrew,M,Operations Manager,Operations,2020-10-18,,100000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
14,Martin,I,Jennifer,F,Research Analyst,R&D,2019-04-15,,68000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25,100,2,3,,,1,1,Fail,Pass,Pass,Pass,Fail,Pass
