UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name,CountDistinct_UniqueID,Max_Count,Sum_GenderTest,Sum_weekendHires,Input_#7_CountDistinct_UniqueID,Count,Input_#6_CountDistinct_UniqueID,Test_Num_Employees,Test_Max_Hiring,Test_Surnames,Test_GenderMatches,Test_Holidays,Test_Weekends
1,Ferguson,V,Jeffrey,male,HR Manager,Product,20/11/1969,,70027.96,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
2,Kennedy,D,David,other,Sales Executive,Data Science,16/12/1967,,117861.82,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
3,Casey,S,Bryan,other,Customer Support Rep,Marketing,21/09/1964,,100184.48,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
4,Curry,NA,Annette,female,Software Engineer,Marketing,11/12/2003,,81945.96,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
5,Pena,M,Deanna,other,Product Manager,HR,07/03/1969,,47560.86,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
6,Rhodes,S,Melissa,other,Data Analyst,HR,18/01/1984,08/06/2008,83529.06,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
7,Alvarez,D,Rebecca,female,Customer Support Rep,Operations,09/05/2014,,40153.36,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
8,Schwartz,T,Melissa,other,Marketing Specialist,Engineering,14/01/1972,24/12/1952,64185.02,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
9,Callahan,NA,Nicholas,male,Marketing Specialist,Sales,07/12/2012,04/10/2004,56372.03,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
10,Baker,NA,Gregory,male,Software Engineer,Finance,16/09/1961,,90360.7,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data5.csv,output_data5.csv,questions_data5,110,2,0,,2,,,Pass,Pass,Fail,Pass,Pass,Pass
