UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name,CountDistinct_UniqueID,Max_Count,Sum_GenderTest,Sum_weekendHires,Input_#7_CountDistinct_UniqueID,Count,Input_#6_CountDistinct_UniqueID,Test_Num_Employees,Test_Max_Hiring,Test_Surnames,Test_GenderMatches,Test_Holidays,Test_Weekends
1,Silva,A,João,Male,Operations Manager,Operations,2020-01-15,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
2,Oliveira,B,Maria,Female,Human Resources Coordinator,HR,2019-03-22,,62000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
3,Souza,C,Carlos,Male,Finance Analyst,Finance,2021-07-30,,58000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
4,Almeida,D,Ana,Female,Marketing Specialist,Marketing,2022-05-10,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
5,Ribeiro,E,Pedro,Male,IT Support,IT,2020-11-01,,45000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
6,Martins,F,Lívia,Female,Sales Executive,Sales,2018-09-15,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
7,Pereira,G,Tiago,Male,Quality Assurance Engineer,Quality,2021-06-18,,68000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
8,Ferreira,H,Juliana,Female,Logistics Supervisor,Logistics,2017-04-25,,72000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
9,Correia,I,Lucas,Male,Project Manager,Projects,2019-02-12,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
10,Teixeira,J,Fabiana,Female,Customer Service Representative,Customer Service,2020-10-30,,40000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data21.csv,output_data21.csv,questions_data21,110,1,0,,102,1,1,Pass,Pass,Pass,Pass,Fail,Pass
