HireDate,count_of_hires,multiple_hires,unique_id,last_name,middle_initial,first_name,gender,job_title,department,Right_HireDate,termination_date,FileName,Input_File_Name,Output_File_Name
2021-12-30,1,False,010,Martinez,N,Patricia,F,Customer Service Representative,Customer Service,2021-12-30,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
2019-09-12,1,False,006,Miller,K,Alice,F,IT Support Technician,IT,2019-09-12,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
2021-07-10,1,False,003,Williams,M,James,M,Operations Coordinator,Operations,2021-07-10,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
2021-04-20,1,False,007,Davis,R,David,M,Production Supervisor,Manufacturing,2021-04-20,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
2019-03-22,1,False,002,Johnson,A,Emily,F,Marketing Specialist,Marketing,2019-03-22,2022-05-30,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
2018-11-05,1,False,004,Brown,T,Sarah,F,Financial Analyst,Finance,2018-11-05,2023-08-15,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
2022-02-01,1,False,008,García,S,Linda,F,Quality Control Inspector,Quality Assurance,2022-02-01,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
2020-01-15,1,False,001,Smith,J,John,M,Sales Manager,Sales,2020-01-15,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
2017-05-25,1,False,009,Rodriguez,T,Jose,M,Logistics Manager,Logistics,2017-05-25,2024-01-10,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
2020-06-18,1,False,005,Jones,L,Michael,M,HR Generalist,Human Resources,2020-06-18,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data26.csv,output_data26.csv,questions_data26
