UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name,CountDistinct_UniqueID,Max_Count,Sum_GenderTest,Sum_weekendHires,Input_#7_CountDistinct_UniqueID,Count,Input_#6_CountDistinct_UniqueID,Test_Num_Employees,Test_Max_Hiring,Test_Surnames,Test_GenderMatches,Test_Holidays,Test_Weekends
John,A,Doe,001,Male,Software Engineer,IT,2020-01-15,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Jane,B,Smith,002,Female,Data Analyst,Marketing,2019-03-22,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Michael,C,Brown,003,Male,Project Manager,Operations,2018-07-10,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Emily,D,Johnson,004,Female,UX Designer,Design,2021-05-30,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
David,E,Williams,005,Male,System Administrator,IT,2017-09-12,2022-08-15,85000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Sarah,F,Jones,006,Female,Product Manager,Product,2020-11-01,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Robert,G,Miller,007,Male,HR Specialist,HR,2016-12-05,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Jessica,H,Davis,008,Female,Marketing Coordinator,Marketing,2019-06-17,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Daniel,I,Garcia,009,Male,Sales Representative,Sales,2022-02-01,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Laura,J,Martinez,010,Female,Accountant,Finance,2018-10-20,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
James,K,Hernandez,011,Male,Web Developer,IT,2020-04-12,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Patricia,L,Lopez,012,Female,Administrative Assistant,Admin,2021-01-15,,40000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Charles,M,Gonzalez,013,Male,Operations Manager,Operations,2019-07-30,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
Linda,N,Wilson,014,Female,Graphic Designer,Design,2021-03-25,,72000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data10.csv,output_data10.csv,questions_data10,66,2,,0,,2,2,Fail,Pass,Pass,Pass,Fail,Pass
