UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name,CountDistinct_UniqueID,Max_Count,Sum_GenderTest,Sum_weekendHires,Input_#7_CountDistinct_UniqueID,Count,Input_#6_CountDistinct_UniqueID,Test_Num_Employees,Test_Max_Hiring,Test_Surnames,Test_GenderMatches,Test_Holidays,Test_Weekends
1,Olson,A,Jamie,other,Regulatory affairs officer,Than,28/11/1955,12/04/2014,58169,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
2,Johnson,F,Mark,female,Fisheries officer,Skill,30/03/1989,23/02/2000,243810,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
3,Williams,I,Carrie,other,Museum/gallery curator,Know,17/08/2000,,159800,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
4,Serrano,Q,Stephen,female,Immunologist,Recently,27/01/1990,,172569,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
5,Anderson,X,Michelle,male,Film/video editor,Less,27/10/2000,,139696,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
6,Williams,A,Joe,other,"Engineer, broadcasting (operations)",Yeah,18/07/2002,,75857,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
7,Herrera,X,Rachael,male,Interior and spatial designer,Reflect,10/09/1992,,102304,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
8,Graham,E,Denise,female,"Journalist, broadcasting",Three,20/10/2012,,178667,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
9,Moore,O,Tara,female,Field trials officer,Although,14/10/2019,,37693,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
10,Crawford,M,Diane,male,"Social research officer, government",Window,18/10/1955,,83894,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
11,Cruz,X,Robin,other,Dealer,Budget,29/06/1962,04/09/1972,153614,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
12,Alexander,Z,James,female,Magazine journalist,Lead,15/08/1964,,112637,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
13,Griffin,R,Joshua,other,Waste management officer,Nearly,31/10/2007,,141585,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
14,Adams,NA,Kevin,female,Ecologist,Star,06/10/1975,22/11/1983,108079,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
15,Castillo,W,Mark,male,Environmental manager,Accept,10/06/1975,,172103,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8,50,1,0,,,,,Fail,Pass,Pass,Pass,Pass,Pass
