HireDate,count_of_hires,multiple_hires,UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,Right_HireDate,TerminationDate,FileName,Input_File_Name,Output_File_Name
3/2/69,1,False,94,Jones,NA,Bob,male,Software Engineer,Human Resources,3/2/69,7/11/71,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
25/07/2022,1,False,78,Smith,C,Eve,other,HR Manager,Human Resources,25/07/2022,1/9/22,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
9/8/08,1,False,64,Miller,C,NA,male,HR Manager,Marketing,9/8/08,3/11/22,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
21/10/1994,1,False,51,NA,A,NA,male,Accountant,Human Resources,21/10/1994,16/01/2010,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
27/05/2016,1,False,48,Williams,NA,Eve,other,Sales Associate,Finance,27/05/2016,1/3/20,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
11/3/05,1,False,15,Brown,NA,Alice,male,Software Engineer,Data Science,11/3/05,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
17/07/1984,1,False,19,Smith,A,Dana,female,HR Manager,Sales,17/07/1984,6/7/09,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
19/07/2018,1,False,63,Miller,A,Dana,male,Accountant,Engineering,19/07/2018,15/06/2021,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
31/07/1963,1,False,12,Smith,NA,Bob,female,Data Analyst,Human Resources,31/07/1963,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
14/07/2010,1,False,72,Jones,C,NA,other,Sales Associate,Engineering,14/07/2010,9/10/19,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
5/2/54,1,False,37,Williams,B,Bob,other,Sales Associate,Data Science,5/2/54,1/12/09,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
2/10/99,1,False,57,Miller,NA,Dana,female,Marketing Director,Finance,2/10/99,4/5/10,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
13/08/1968,1,False,34,Williams,NA,Bob,male,Data Analyst,Human Resources,13/08/1968,19/09/2010,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
5/6/93,1,False,80,Jones,B,NA,other,Marketing Director,Human Resources,5/6/93,7/2/04,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
21/11/1991,1,False,39,Johnson,B,Bob,other,Accountant,Finance,21/11/1991,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data16.csv,output_data16.csv,questions_data16
